,index,long_position_solar,lat_position_solar,value_phov,long_position_topo,lat_position_topo,elevation,long_position,lat_position,value,lat_leftend,lat_rightend,long_leftend,long_rightend,coordinates,Address,esp_or_not
57,637,"(-9.07, -8.982]","(38.861, 38.914]",1589.8336,"(-9.139, -9.046]","(39.071, 39.149]",140.46076146076146,"(-9.128, -9.036]","(39.078, 39.156]",5.777777777777778,39.078,39.156,-9.139,-9.046,"39.078,-9.139","A-da-Rainha, Carvoeira, Carvoeira e Carmões, Torres Vedras, Lisboa, 2580-087, Portugal",0
58,638,"(-9.07, -8.982]","(38.914, 38.968]",1594.9805,"(-9.139, -9.046]","(39.149, 39.228]",193.44720965309202,"(-9.128, -9.036]","(39.156, 39.233]",7.0,39.156,39.233,-9.139,-9.046,"39.156,-9.139","Vila Verde dos Francos, Maxial e Monte Redondo, Torres Vedras, Lisboa, 2565-591 OUTEIRO DA CABEÇA, Portugal",0
59,639,"(-9.07, -8.982]","(38.968, 39.022]",1592.6118,"(-9.139, -9.046]","(39.228, 39.306]",95.009324009324,"(-9.128, -9.036]","(39.233, 39.311]",7.0,39.233,39.311,-9.139,-9.046,"39.233,-9.139","Pêro Moniz, Cadaval e Pêro Moniz, Cadaval, Lisboa, 2550-101, Portugal",0
60,640,"(-9.07, -8.982]","(39.022, 39.075]",1588.8137,"(-9.139, -9.046]","(39.306, 39.384]",102.996114996115,"(-9.128, -9.036]","(39.311, 39.389]",7.0,39.311,39.389,-9.139,-9.046,"39.311,-9.139","Carvalhal, Bombarral, Leiria, 2510-772, Portugal",0
61,641,"(-9.07, -8.982]","(39.075, 39.129]",1578.7766,"(-9.139, -9.046]","(39.384, 39.462]",81.8003108003108,"(-9.128, -9.036]","(39.389, 39.467]",7.0,39.389,39.467,-9.139,-9.046,"39.389,-9.139","Casal da Toiça, Santa Maria, São Pedro e Sobral da Lagoa, Óbidos, Leiria, 2500-220, Portugal",0
62,642,"(-9.07, -8.982]","(39.129, 39.183]",1562.5228,"(-9.139, -9.046]","(39.462, 39.541]",67.43359375,"(-9.128, -9.036]","(39.467, 39.544]",7.0,39.467,39.544,-9.139,-9.046,"39.467,-9.139","Rua de Baixo, Chão de Parada, Tornada e Salir do Porto, Caldas da Rainha, Leiria, 2500-314, Portugal",0
63,643,"(-9.07, -8.982]","(39.183, 39.236]",1536.9009,"(-9.139, -9.046]","(39.541, 39.619]",48.24193548387097,"(-9.128, -9.036]","(39.544, 39.622]",7.0,39.544,39.622,-9.139,-9.046,"39.544,-9.139","Casal das Hortas, São Martinho do Porto, Alcobaça, Leiria, 2460-083, Portugal",0
64,644,"(-9.07, -8.982]","(39.236, 39.29]",1535.1735,"(-9.139, -9.046]","(39.619, 39.697]",73.76457399103138,"(-9.128, -9.036]","(39.622, 39.7]",6.666666666666667,39.622,39.7,-9.139,-9.046,"39.622,-9.139",Portugal,0
65,645,"(-9.07, -8.982]","(39.29, 39.344]",1533.4808,"(-9.139, -9.046]","(39.697, 39.775]",17.925925925925927,"(-9.128, -9.036]","(39.7, 39.778]",6.583333333333333,39.7,39.778,-9.139,-9.046,"39.7,-9.139",Portugal,0
66,710,"(-8.982, -8.893]","(37.412, 37.465]",1697.3167,"(-9.046, -8.954]","(36.959, 37.037]",28.662576687116566,"(-9.036, -8.944]","(36.979, 37.056]",6.083333333333333,36.979,37.056,-9.046,-8.954,"36.979,-9.046",Portugal,0
