,0
978,Castelo Branco
979,Castelo Branco
980,Castelo Branco
981,Castelo Branco
982,Castelo Branco
983,Castelo Branco
984,Castelo Branco
985,Castelo Branco
986,Guarda
987,Guarda
988,Guarda
989,Viseu
990,Guarda
991,Guarda
992,Viseu
993,Viseu
994,Viseu
995,Viseu
996,Vila Real
997,Vila Real
998,Vila Real
999,Vila Real
1000,Vila Real
1001,Vila Real
1002,Vila Real
1003,Vila Real
1004,Vila Real
1005,Faro
1006,Faro
1007,Faro
1008,Faro
1009,Beja
1010,Beja
1011,Beja
1012,Beja
1013,Beja
1014,Beja
1015,Beja
1016,Évora
1017,Évora
1018,Évora
1019,Évora
1020,Évora
1021,Évora
1022,Évora
1023,Évora
1024,Évora
1025,Évora
1026,Portalegre
1027,Portalegre
1028,Portalegre
1029,Portalegre
1030,Portalegre
1031,Portalegre
1032,Portalegre
1033,Portalegre
1034,Castelo Branco
1035,Castelo Branco
1036,Castelo Branco
1037,Castelo Branco
1038,Castelo Branco
1039,Castelo Branco
1040,Castelo Branco
1041,Castelo Branco
1042,Castelo Branco
1043,Guarda
1044,Guarda
1045,Guarda
1046,Guarda
1047,Guarda
1048,Guarda
1049,Viseu
1050,Viseu
1051,Viseu
1052,Viseu
1053,Viseu
1054,Vila Real
1055,Vila Real
1056,Vila Real
1057,Vila Real
1058,Vila Real
1059,Vila Real
1060,Vila Real
1061,Vila Real
1062,Beja
1063,Beja
1064,Beja
1065,Beja
1066,Beja
1067,Beja
1068,Beja
1069,Évora
1070,Évora
1071,Évora
1072,Évora
1073,Évora
1074,Évora
1075,Portalegre
1076,Portalegre
1077,Portalegre
1078,Portalegre
1079,Portalegre
1080,Portalegre
1081,Portalegre
1082,Portalegre
1083,Portalegre
1084,Castelo Branco
1085,Castelo Branco
1086,Castelo Branco
1087,Castelo Branco
1088,Castelo Branco
1089,Castelo Branco
1090,Castelo Branco
1091,Castelo Branco
1092,Castelo Branco
1093,Guarda
1094,Guarda
1095,Guarda
1096,Guarda
1097,Guarda
1098,Guarda
1099,Guarda
1100,Viseu
1101,Viseu
1102,Viseu
1103,Viseu
1104,Bragança
1105,Vila Real
1106,Vila Real
1107,Vila Real
1108,Vila Real
1109,Vila Real
1110,Vila Real
1111,Vila Real
1112,Beja
1113,Beja
1114,Beja
1115,Beja
1116,Beja
1117,Évora
1118,Évora
1119,Évora
1120,Évora
1121,Évora
1122,Portalegre
1123,Portalegre
1124,Portalegre
1125,Portalegre
1126,Portalegre
1127,Portalegre
1128,Portalegre
1129,Castelo Branco
1130,Castelo Branco
1131,Castelo Branco
1132,Castelo Branco
1133,Castelo Branco
1134,Castelo Branco
1135,Castelo Branco
1136,Castelo Branco
1137,Castelo Branco
1138,Guarda
1139,Guarda
1140,Guarda
1141,Guarda
1142,Guarda
1143,Guarda
1144,Guarda
1145,Guarda
1146,Guarda
1147,Guarda
1148,Bragança
1149,Bragança
1150,Bragança
1151,Bragança
1152,Bragança
1153,Vila Real
1154,Vila Real
1155,Vila Real
1156,Vila Real
1157,Beja
1158,Beja
1159,Beja
1160,Évora
1161,Portalegre
1162,Portalegre
1163,Portalegre
1164,Portalegre
1165,Portalegre
1166,Portalegre
1167,Castelo Branco
1168,Castelo Branco
1169,Castelo Branco
1170,Castelo Branco
1171,Castelo Branco
1172,Castelo Branco
1173,Castelo Branco
1174,Castelo Branco
1175,Guarda
1176,Guarda
1177,Guarda
1178,Guarda
1179,Guarda
1180,Guarda
1181,Guarda
1182,Guarda
1183,Guarda
1184,Guarda
1185,Guarda
1186,Bragança
1187,Bragança
1188,Bragança
1189,Bragança
1190,Bragança
1191,Bragança
1192,Bragança
1193,Vila Real
1194,Bragança
1195,Vila Real
1196,Beja
1197,Beja
1198,Portalegre
1199,Portalegre
1200,Portalegre
1201,Portalegre
1202,Castelo Branco
1203,Castelo Branco
1204,Castelo Branco
1205,Castelo Branco
1206,Guarda
1207,Guarda
1208,Guarda
1209,Guarda
1210,Guarda
1211,Guarda
1212,Guarda
1213,Guarda
1214,Guarda
1215,Guarda
1216,Guarda
1217,Bragança
1218,Bragança
1219,Bragança
1220,Bragança
1221,Bragança
1222,Bragança
1223,Bragança
1224,Bragança
1225,Bragança
1226,Bragança
1227,Bragança
1228,Beja
1229,Beja
1230,Portalegre
1231,Portalegre
1232,Castelo Branco
1233,Castelo Branco
1234,Guarda
1235,Guarda
1236,Guarda
1237,Guarda
1238,Guarda
1239,Guarda
1240,Guarda
1241,Guarda
1242,Guarda
1243,Guarda
1244,Bragança
1245,Bragança
1246,Bragança
1247,Bragança
1248,Bragança
1249,Bragança
1250,Bragança
1251,Bragança
1252,Bragança
1253,Bragança
1254,Bragança
1255,Castelo Branco
1256,Guarda
1257,Guarda
1258,Guarda
1259,Guarda
1260,Guarda
1261,Guarda
1262,Guarda
1263,Guarda
1264,Guarda
1265,Bragança
1266,Bragança
1267,Bragança
1268,Bragança
1269,Bragança
1270,Bragança
1271,Bragança
1272,Bragança
1273,Bragança
1274,Bragança
1275,Bragança
1276,Guarda
1277,Guarda
1278,Guarda
1279,Guarda
1280,Guarda
1281,Guarda
1282,Guarda
1283,Bragança
1284,Bragança
1285,Bragança
1286,Bragança
1287,Bragança
1288,Bragança
1289,Bragança
1290,Bragança
1291,Bragança
1292,Bragança
1293,Bragança
1294,Bragança
1295,Bragança
1296,Bragança
1297,Bragança
1298,Bragança
1299,Bragança
1300,Bragança
1301,Bragança
1302,Bragança
1303,Bragança
1304,Bragança
1305,Bragança
1306,Bragança
1307,Bragança
1308,Bragança
1309,Bragança
1310,Bragança
